Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
260106-257,2026-01-06,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-01-19,"","Aglonas iela 35 k-1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437925539
260113-159,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1500.000,1500.000,Viena vesela slodze,"","",2026-02-16,"","Vidrižu iela 1A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438692456
260113-165,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1500.000,1500.000,Viena vesela slodze,"","",2026-02-16,"","Avotu iela 31 k-2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438694465
260113-174,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1500.000,1500.000,Viena vesela slodze,"","",2026-02-16,"","Eduarda Smiļģa iela 46, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438695673
260113-180,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-02-02,"","Mežrozīšu iela 43, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438696829
260113-194,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1400.000,1400.000,Viena vesela slodze,"","",2026-02-02,"","Vidrižu iela 1A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438701734
260113-199,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-02-02,"","Baldones iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438704435
251229-65,2025-12-29,90009202794,Pamatdarbības atbalsta struktūrvienības VADĪTĀJS/ DIREKTORS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,1900.000,1995.000,Viena vesela slodze,"","",2026-01-19,"","Baznīcas iela 19/23, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437420909
251229-77,2025-12-29,90009202794,EKONOMISTS,Bankas / Apdrošināšana / Finanses/Grāmatvedība,1540.000,1617.000,Viena vesela slodze,"","",2026-01-19,"","Baznīcas iela 19/23, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437428511
260106-251,2026-01-06,90009202794,SOCIĀLĀS PALĪDZĪBAS ORGANIZATORS,Veselības aprūpe / Sociālā aprūpe,1200.000,1200.000,Viena vesela slodze,"","",2026-01-19,"","Brīvības gatve 266, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437922917
260113-187,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS,Vadība / Administrēšana,1352.000,1352.000,Viena vesela slodze,Normālais darba laiks,"",2026-02-02,"","Eduarda Smiļģa iela 46, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438699418
260113-192,2026-01-13,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-02-02,"","Ieriķu iela 2B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/438701259
260107-53,2026-01-07,40003342456,INFORMĀCIJAS SISTĒMU ADMINISTRATORS,Informācijas tehnoloģijas / Telekomunikācijas,2800.000,2800.000,Viena vesela slodze,"","",2026-01-25,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437982260
260105-3,2026-01-05,40003342456,SISTĒMANALĪTIĶIS,Informācijas tehnoloģijas / Telekomunikācijas,2500.000,2500.000,Viena vesela slodze,"","",2026-01-18,"","Cēsu iela 31 k-3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437608257
